Date,study,Quran,exercise ,Religious knowledge ,Gaming ,majlis,,
Jan 26,150 mints,5 mints,0 mints,5 mints,15 mints,10 mints,,
Jan 27,60 mints,3 mints,30 mints,6 mints,100 mints,5 mints ,,
Jan 28,180 mints,2 mints,40 mints,3 mints ,70 mints,10 mints,,
Jan 29,120 mints,0 mints,50 mints,16 mints,20 mints,5 mints,,
Jan 30,200 mints,2 mints,0 mints ,6 mints ,0 mints ,20 mints,,
Jan 31,100 mints ,2 mints,30 mints ,6 mints,20 mints,10 mints,,
Feb 1,60 mints,2 mints,25 mints,5 mints,15 mints,5 mints,,
Feb 2,0 mints ,0 mints ,0 mints ,2 mints,30 mints,10 mints,,
Feb 3,0 mints ,2 mints,0 mints,4 mints,0 mints ,5 mints,,
Feb 4,200 mints,2 mints,10 mints ,5 mints,30 mints ,15 mints ,,
Feb 5,180 mints,2 mints,5 mints,2 mints ,30 mints,5 mints,,
Feb 6,120 mints ,2 mints,20 mints ,3 mints ,30 mints ,60 mints ,,
Feb 7,230 mints ,2 mints,0 mints,6 mints,150 mints,30 mints,,
Feb 8,250 mints ,2 mints,0 mints ,3 mints,0 mints,10 mints ,,
Feb 9,150 mints,2 mints,0 mints,31 mints,0 mints,20 mints,,
Feb 10,120 mints,2 mints,0 mints,2 mints,20 mints,5 mints,,
Feb 11,holiday ,2 mints ,0 mints ,2 mints ,60 mints ,10 mints ,,
Feb 12,holiday ,2 mints,60 mints,2 mints,0 mints,5 mints,,
Feb 13,60 mints,2 mints ,60 mints,6 mints,40 mints,10 mints,,
Feb 14,150 mints,2 mints ,5 mints ,4 mints ,30 mints ,20 mints ,,
Feb 15,120 mints,2 mints,5 mints,3 mints ,100 mints ,5 mints ,,
Feb 16,200 mints ,2 mints ,20 mints ,2 mints ,150 mimts,5 mints ,,
Feb 17,180 mints,5 mints ,15 mints ,4 mints ,60 mints ,10 mints ,,
Feb 18,200 mints,2 mints ,10 mints ,2 mints ,150 mints ,5 mints ,,
Feb 19,100 mints ,2 mints ,80 mints ,4 mints ,100 mints ,10 mints ,,
Feb 20,180 mints ,5 mints ,5 mints ,4 mints ,150 mints ,5 mints ,,
Feb 21,300 mints ,2 mints ,0 mints ,7 mints ,60 mints ,10 mints ,,
Feb 22,240 mints ,2 mints ,0 mints ,7 mints ,0 mints ,5 mints ,,
Feb 23,180 mints ,0 mints ,0 mints ,4 mints ,100 mints ,10 mints ,,
Feb 24,300 mints,3 mints ,30 mints ,5 mints ,120 mints ,5 mints ,,
Feb 25,200 mints ,2 mints ,10 mints ,2 mints ,60 mints ,30 mints ,,
Feb 26,180 mints ,2 mints ,15 mints ,4 mints ,120 mints ,10 mints ,,
Feb 27,100 mints ,2 mints ,0 mints ,5 mints ,0 mints ,5 mints ,,
Feb 28,holiday ,2 mints ,0 mints ,5 mints ,0 mints ,5 mints ,,
Mar 1,120 mints,2 mints ,5 mints ,3 mints ,100 mints ,10 mints ,,
Mar 2,150 mints ,2 mints ,0 mints ,4 mints ,10 mints ,10 mints ,,
Mar 3,100 mints ,2 mints ,0 mints ,2 mints ,180 mints ,20 mints ,,
